epoch,accuracy,dice_coef,loss,val_accuracy,val_dice_coef,val_loss
0,0.9469118118286133,0.0555897019803524,0.984870433807373,0.9837653040885925,0.017953775823116302,1.0266376733779907
1,0.9863198399543762,0.1352161169052124,0.8806859850883484,0.9923108816146851,0.1133010983467102,0.8917619585990906
2,0.9915661811828613,0.25300607085227966,0.7604162693023682,0.9621005058288574,0.1723717302083969,0.9144700169563293
3,0.9940041303634644,0.36766666173934937,0.6464013457298279,0.9700443148612976,0.2296726256608963,0.846790075302124
4,0.9947485327720642,0.44691386818885803,0.5692036747932434,0.9026018381118774,0.12898999452590942,1.520025372505188
5,0.9955365061759949,0.5130672454833984,0.49997657537460327,0.9955995082855225,0.2676936686038971,0.7366956472396851
6,0.9955150485038757,0.5467984676361084,0.46396222710609436,0.9961215853691101,0.3091498911380768,0.6923953890800476
7,0.9959074258804321,0.5825023055076599,0.42842379212379456,0.9960479736328125,0.29520270228385925,0.7093107104301453
8,0.9963119029998779,0.6263828277587891,0.38240838050842285,0.9919552803039551,0.4626690447330475,0.5521369576454163
9,0.9959929585456848,0.6195505857467651,0.39162296056747437,0.9931395053863525,0.23958279192447662,0.7851815223693848
10,0.9963743686676025,0.6524689793586731,0.35754328966140747,0.9892597794532776,0.15380506217479706,0.9186868071556091
11,0.9962300062179565,0.6251459717750549,0.38620853424072266,0.9959298968315125,0.34995928406715393,0.6578189730644226
12,0.996719479560852,0.6767749786376953,0.3364691138267517,0.992971658706665,0.5034525990486145,0.5092900395393372
13,0.9963314533233643,0.6525839567184448,0.36300772428512573,0.9593021273612976,0.2713907063007355,0.9337732791900635
14,0.9963747262954712,0.6458896398544312,0.3657582700252533,0.98711097240448,0.10088402032852173,1.012363076210022
15,0.9966078400611877,0.6700745224952698,0.34053754806518555,0.9953785538673401,0.318073034286499,0.6941152811050415
16,0.9966852068901062,0.6671098470687866,0.34934738278388977,0.9375470876693726,0.22826457023620605,1.214357614517212
17,0.9968677759170532,0.7036232948303223,0.30624040961265564,0.9919639229774475,0.5196886658668518,0.501929759979248
18,0.9966855645179749,0.6737379431724548,0.33809059858322144,0.9919546246528625,0.517934262752533,0.5073138475418091
19,0.9967615008354187,0.689522922039032,0.32253497838974,0.9965654611587524,0.434552937746048,0.5716681480407715
20,0.996846616268158,0.6873959898948669,0.3248830735683441,0.988326370716095,0.4564572274684906,0.5804069638252258
21,0.9969587922096252,0.698897123336792,0.31574496626853943,0.9852527379989624,0.4317295551300049,0.6142716407775879
22,0.996826708316803,0.7057511806488037,0.30460670590400696,0.9917356967926025,0.5122652649879456,0.51180100440979
23,0.9969609379768372,0.6884846091270447,0.3277745544910431,0.9965090751647949,0.4710274934768677,0.5363790392875671
24,0.9970916509628296,0.7286317348480225,0.2819445729255676,0.9968341588973999,0.5438953042030334,0.4614613652229309
25,0.996976375579834,0.7230517268180847,0.29150858521461487,0.9897593855857849,0.4673744738101959,0.5606356263160706
26,0.9969647526741028,0.711874783039093,0.300971120595932,0.9944285750389099,0.5934072136878967,0.4197818636894226
27,0.9970510601997375,0.7246400117874146,0.29091569781303406,0.9953725934028625,0.38806530833244324,0.6287962198257446
28,0.9971466064453125,0.713200569152832,0.2960507273674011,0.9948757290840149,0.6016884446144104,0.4077674150466919
29,0.9972105622291565,0.741912305355072,0.2715946435928345,0.99665766954422,0.6480253338813782,0.3565497100353241
30,0.9970110058784485,0.7087802290916443,0.3029913604259491,0.9784658551216125,0.35736504197120667,0.732338011264801
31,0.9972711205482483,0.7239963412284851,0.2872155010700226,0.9734888672828674,0.3261584937572479,0.8116904497146606
32,0.9971562027931213,0.7426557540893555,0.27185750007629395,0.9946163296699524,0.5935294032096863,0.41523435711860657
33,0.9971030354499817,0.7192180752754211,0.29291051626205444,0.996591329574585,0.5791897773742676,0.4296724796295166
34,0.9969847798347473,0.6851771473884583,0.3298071324825287,0.9955796003341675,0.39890503883361816,0.6167303323745728
35,0.9970194697380066,0.7055037021636963,0.3085746169090271,0.9967498779296875,0.5159831643104553,0.4915108382701874
36,0.9972471594810486,0.734676718711853,0.27638790011405945,0.99655681848526,0.5086057186126709,0.4978952407836914
37,0.9971455931663513,0.704981803894043,0.305714875459671,0.9957262277603149,0.3500945568084717,0.6694096326828003
38,0.9972278475761414,0.732598066329956,0.28062236309051514,0.9786383509635925,0.35633179545402527,0.7338094115257263
39,0.9971674680709839,0.7321363687515259,0.28132686018943787,0.9955371618270874,0.625236451625824,0.3845619559288025
40,0.997072696685791,0.7186917066574097,0.29257991909980774,0.9744322299957275,0.33065465092658997,0.8010032773017883
41,0.9971463680267334,0.7211862802505493,0.2942783236503601,0.9968958497047424,0.5597171187400818,0.4486340284347534
42,0.9972729086875916,0.7375127077102661,0.2709600031375885,0.9954807162284851,0.35495591163635254,0.6634814143180847
43,0.9972811937332153,0.7249754071235657,0.2867980897426605,0.9966729283332825,0.47443318367004395,0.5332838296890259
44,0.9972278475761414,0.7442923784255981,0.26526665687561035,0.9959896206855774,0.35051071643829346,0.6624922156333923
45,0.9973628520965576,0.7448094487190247,0.26451626420021057,0.99238520860672,0.5295398235321045,0.4933205544948578
46,0.9972162842750549,0.7154635190963745,0.2977258563041687,0.9968752861022949,0.5386424660682678,0.4685211479663849
